,0
2565,80
2566,212
2567,80
2568,1583
2569,80
2570,50
2571,80
2572,100
2573,80
2574,63
2575,81
2576,265
2577,80
2578,28
2579,80
2580,89
2581,80
2582,55
2583,80
2584,1
2585,80
2586,92
2587,80
2588,87
2589,79
2590,121
2591,79
2592,641
2593,79
2594,229
2595,79
2596,143
2597,79
2598,56
2599,79
2600,40
2601,79
2602,545
2603,79
2604,43
2605,79
2606,33
2607,79
2608,122
2609,79
2610,169
2611,78
2612,2749
2613,78
2614,324
2615,78
2616,479
2617,78
2618,380
2619,78
2620,144
2621,78
2622,98
2623,78
2624,360
2625,78
2626,142
2627,78
2628,46
2629,78
2630,36
2631,78
2632,26
2633,78
2634,202
2635,78
2636,73
2637,78
2638,105
2639,77
2640,38
2641,77
2642,1603
2643,77
2644,698
2645,77
2646,182
2647,77
2648,101
2649,77
2650,49
2651,77
2652,182
2653,77
2654,303
2655,77
2656,62
2657,77
2658,314
2659,77
2660,162
2661,77
2662,82
2663,77
2664,99
2665,77
2666,29
2667,77
2668,204
2669,77
2670,187
2671,77
2672,23
2673,77
2674,94
2675,77
2676,26
2677,77
2678,64
2679,77
2680,68
2681,77
2682,191
2683,77
2684,957
2685,76
2686,254
2687,76
2688,46
2689,76
2690,756
2691,76
2692,316
2693,76
2694,60
2695,76
2696,99
2697,76
2698,298
2699,76
2700,23
2701,76
2702,201
2703,76
2704,116
2705,76
2706,64
2707,76
2708,21
2709,76
2710,106
2711,76
2712,97
2713,75
2714,10795
2715,75
2716,38
2717,75
2718,49
2719,75
2720,50
2721,75
2722,27
2723,75
2724,15
2725,75
2726,38
2727,75
2728,77
2729,75
2730,49
2731,75
2732,41
2733,75
2734,177
2735,75
2736,401
2737,74
2738,50
2739,74
2740,34
2741,74
2742,44
2743,74
2744,198
2745,74
2746,109
2747,74
2748,62
2749,74
2750,519
2751,74
2752,599
2753,74
2754,85
2755,74
2756,39
2757,74
2758,46
2759,74
2760,104
2761,74
2762,20
2763,74
2764,14
2765,74
2766,61
2767,74
2768,83
2769,73
